                   t                divB                mass
    0.0000000000e+00    5.2718737562e-13    3.8202778346e-03
    1.0001239998e+00    5.2712216327e-13    3.8201871578e-03
    2.0000455780e+00    5.2719541550e-13    3.8200974440e-03
    3.0001126984e+00    5.3216763403e-13    3.8200138393e-03
    4.0000515638e+00    5.3550239720e-13    3.8199412295e-03
    5.0000656129e+00    5.3402931269e-13    3.8198746869e-03
    6.0001553692e+00    5.2815394775e-13    3.8198134224e-03
    7.0000344482e+00    5.2563389233e-13    3.8197553679e-03
    8.0000093090e+00    5.2248404638e-13    3.8196985327e-03
    9.0001180503e+00    5.1647557677e-13    3.8196678323e-03
    1.0000114504e+01    5.1067167742e-13    3.8196608799e-03
    1.1000064572e+01    5.1618524781e-13    3.8196431716e-03
    1.2000048054e+01    5.0990878223e-13    3.8195764999e-03
    1.3000018130e+01    5.0384939339e-13    3.8194760799e-03
    1.4000009823e+01    4.9406039399e-13    3.8193800586e-03
    1.5000011375e+01    5.0473556672e-13    3.8192925222e-03
    1.6000014770e+01    5.0661153850e-13    3.8192287619e-03
    1.7000002842e+01    5.0092243075e-13    3.8191979395e-03
    1.8000007402e+01    4.9948641903e-13    3.8191800026e-03
    1.9000005904e+01    4.9722936613e-13    3.8191456496e-03
    2.0000001739e+01    5.2827722589e-13    3.8191098842e-03
    2.1000002395e+01    5.3161415698e-13    3.8191086700e-03
    2.2000012959e+01    5.2346714376e-13    3.8191513465e-03
    2.3000013956e+01    5.2519439500e-13    3.8191768574e-03
    2.4000013306e+01    5.3048641465e-13    3.8191649765e-03
    2.5000004380e+01    5.4951026794e-13    3.8191020945e-03
    2.6000004633e+01    5.4193370707e-13    3.8189817893e-03
    2.7000032182e+01    5.4647745814e-13    3.8188299076e-03
    2.8000015952e+01    5.5489790107e-13    3.8186805973e-03
    2.9000008768e+01    5.4137567205e-13    3.8185672874e-03
    3.0000011239e+01    5.3679789748e-13    3.8184955049e-03
    3.1000015553e+01    5.3779252598e-13    3.8184478846e-03
    3.2000010993e+01    5.1793571789e-13    3.8183902800e-03
    3.3000011077e+01    5.2086005190e-13    3.8182843660e-03
    3.4000002619e+01    5.1626974278e-13    3.8181161690e-03
    3.5000000040e+01    5.2498659208e-13    3.8179055676e-03
    3.6000007276e+01    5.2655657660e-13    3.8176898224e-03
    3.7000006840e+01    5.4307238998e-13    3.8174928589e-03
    3.8000000749e+01    5.2278121019e-13    3.8173033505e-03
    3.9000010171e+01    5.3446257284e-13    3.8170966957e-03
    4.0000011022e+01    5.6312563497e-13    3.8168912538e-03
    4.1000009686e+01    5.7755364458e-13    3.8166791219e-03
    4.2000011271e+01    5.6672124754e-13    3.8164406275e-03
    4.3000004946e+01    5.7096362372e-13    3.8162003658e-03
    4.4000007077e+01    5.9753721061e-13    3.8159857921e-03
    4.5000003660e+01    5.9260385149e-13    3.8157982240e-03
    4.6000011047e+01    6.0029578244e-13    3.8156309954e-03
    4.7000000634e+01    6.1392427075e-13    3.8154666750e-03
    4.8000003614e+01    5.9833494527e-13    3.8152793352e-03
    4.9000002393e+01    6.1601195934e-13    3.8150474299e-03
