                   t                divB                mass
    0.0000000000e+00    3.2905485733e-12    3.8139172342e-03
    1.0002372596e+00    3.2879452544e-12    3.8139057489e-03
    2.0002143263e+00    3.2897137660e-12    3.8138941849e-03
    3.0001951005e+00    3.2892919993e-12    3.8138824286e-03
    4.0001791307e+00    3.2952345474e-12    3.8138704669e-03
    5.0001668939e+00    3.2958279295e-12    3.8138583710e-03
    6.0001589685e+00    3.3046239479e-12    3.8138462619e-03
    7.0001547809e+00    3.3123699124e-12    3.8138342984e-03
    8.0001536430e+00    3.3146910839e-12    3.8138226018e-03
    9.0001558943e+00    3.3185509769e-12    3.8138112066e-03
    1.0000161997e+01    3.3206045447e-12    3.8138000425e-03
    1.1000171567e+01    3.3288304507e-12    3.8137889603e-03
    1.2000184352e+01    3.3339905488e-12    3.8137777793e-03
    1.3000201002e+01    3.3374664886e-12    3.8137663556e-03
    1.4000221575e+01    3.3391797342e-12    3.8137546309e-03
    1.5000245493e+01    3.3445085390e-12    3.8137426206e-03
    1.6000272783e+01    3.3478739468e-12    3.8137303729e-03
    1.7000026679e+01    3.3510153819e-12    3.8137179638e-03
    1.8000061367e+01    3.3569259339e-12    3.8137054654e-03
    1.9000099852e+01    3.3666818352e-12    3.8136929857e-03
    2.0000142240e+01    3.3663444218e-12    3.8136806494e-03
    2.1000188312e+01    3.3763039346e-12    3.8136685679e-03
    2.2000237763e+01    3.3824617292e-12    3.8136567931e-03
    2.3000013327e+01    3.3847887182e-12    3.8136452955e-03
    2.4000069171e+01    3.3916387920e-12    3.8136339740e-03
    2.5000128644e+01    3.3969617792e-12    3.8136227196e-03
    2.6000192635e+01    3.3985848541e-12    3.8136114425e-03
    2.7000260942e+01    3.4042423460e-12    3.8136000945e-03
    2.8000055128e+01    3.4054349279e-12    3.8135886323e-03
    2.9000129168e+01    3.4048822680e-12    3.8135769699e-03
    3.0000206960e+01    3.4086170853e-12    3.8135650555e-03
    3.1000011732e+01    3.4177563345e-12    3.8135529323e-03
    3.2000097229e+01    3.4272329971e-12    3.8135407332e-03
    3.3000186134e+01    3.4325327145e-12    3.8135286442e-03
    3.4000001489e+01    3.4400925199e-12    3.8135168044e-03
    3.5000097330e+01    3.4416835987e-12    3.8135052416e-03
    3.6000196305e+01    3.4489670742e-12    3.8134938788e-03
    3.7000021876e+01    3.4629319168e-12    3.8134825723e-03
    3.8000128667e+01    3.4678360460e-12    3.8134711869e-03
    3.9000239084e+01    3.4758001658e-12    3.8134596559e-03
    4.0000076047e+01    3.4772167203e-12    3.8134479787e-03
    4.1000194278e+01    3.4815274674e-12    3.8134362371e-03
    4.2000039109e+01    3.4876299960e-12    3.8134245929e-03
    4.3000164059e+01    3.4990089721e-12    3.8134131973e-03
    4.4000015083e+01    3.5019118909e-12    3.8134021415e-03
    4.5000146973e+01    3.5061644632e-12    3.8133913939e-03
    4.6000005215e+01    3.5044075865e-12    3.8133808327e-03
    4.7000143776e+01    3.5128574653e-12    3.8133702647e-03
    4.8000008797e+01    3.5228373392e-12    3.8133595125e-03
    4.9000154651e+01    3.5298822984e-12    3.8133484557e-03
    5.0000026931e+01    3.5340592436e-12    3.8133370551e-03
