                   t                divB                mass
    0.0000000000e+00    8.5460754928e-13    3.6633914840e-03
    1.0000122390e+00    8.5759730516e-13    3.6632579904e-03
    2.0002362383e+00    8.4949547154e-13    3.6631486413e-03
    3.0002330740e+00    8.4207023644e-13    3.6630597836e-03
    4.0002413884e+00    8.4147459842e-13    3.6629862880e-03
    5.0001954517e+00    8.4300128227e-13    3.6629237759e-03
    6.0000882520e+00    8.5420852964e-13    3.6628682668e-03
    7.0000108195e+00    8.6378500108e-13    3.6628165962e-03
    8.0000068197e+00    8.5053060945e-13    3.6627651819e-03
    9.0000086439e+00    8.5556172669e-13    3.6627097236e-03
    1.0000003047e+01    9.2682432180e-13    3.6626446573e-03
    1.1000002749e+01    9.5639225564e-13    3.6625671467e-03
    1.2000004728e+01    1.0102020785e-12    3.6624793487e-03
    1.3000001316e+01    9.7436592505e-13    3.6623876685e-03
    1.4000001279e+01    1.0253025436e-12    3.6622986535e-03
    1.5000000148e+01    9.2003708401e-13    3.6622161312e-03
    1.6000003925e+01    1.0953437263e-12    3.6621393220e-03
    1.7000002948e+01    1.1249064774e-12    3.6620649128e-03
    1.8000004151e+01    1.1279681826e-12    3.6619882489e-03
    1.9000003545e+01    1.2040845684e-12    3.6619041343e-03
    2.0000004069e+01    1.5466917807e-12    3.6618076675e-03
    2.1000001216e+01    1.8702058638e-12    3.6616956861e-03
    2.2000002921e+01    1.8297882060e-12    3.6615679838e-03
    2.3000004629e+01    1.8285338649e-12    3.6614271376e-03
    2.4000002985e+01    2.0445481278e-12    3.6612775197e-03
    2.5000002775e+01    1.7898388355e-12    3.6611239871e-03
    2.6000000824e+01    1.6495118308e-12    3.6609706919e-03
    2.7000001241e+01    1.8143484281e-12    3.6608196337e-03
    2.8000001298e+01    1.6466288376e-12    3.6606709945e-03
    2.9000002279e+01    1.6353920588e-12    3.6605227048e-03
    3.0000002089e+01    1.8004476140e-12    3.6603733430e-03
    3.1000001599e+01    2.0404463618e-12    3.6602223762e-03
    3.2000005200e+01    2.0033636457e-12    3.6600697290e-03
    3.3000005374e+01    1.8670511695e-12    3.6599154677e-03
    3.4000000591e+01    1.8952095087e-12    3.6597597611e-03
