                   t                divB                mass
    0.0000000000e+00    1.0180482381e-12    3.3763972247e-03
    1.0001662042e+00    1.0177832577e-12    3.3762191065e-03
    2.0001002760e+00    1.0200716425e-12    3.3760402656e-03
    3.0002012943e+00    1.0144317969e-12    3.3758617997e-03
    4.0003332677e+00    1.0151562118e-12    3.3756846381e-03
    5.0000365793e+00    1.0140989942e-12    3.3755091628e-03
    6.0001917079e+00    1.0124074912e-12    3.3753353979e-03
    7.0000234954e+00    1.0112069679e-12    3.3751645680e-03
    8.0001662114e+00    1.0148472933e-12    3.3749982179e-03
    9.0002212541e+00    1.0127486308e-12    3.3748383192e-03
    1.0000128322e+01    1.0089598173e-12    3.3746860414e-03
    1.1000178853e+01    1.0103074767e-12    3.3745409564e-03
    1.2000042311e+01    1.0078079639e-12    3.3744015038e-03
    1.3000185425e+01    1.0089312012e-12    3.3742663435e-03
    1.4000351588e+01    1.0082194044e-12    3.3741348283e-03
    1.5000257399e+01    1.0152900539e-12    3.3740069330e-03
    1.6000001332e+01    1.0162895886e-12    3.3738824643e-03
    1.7000321764e+01    1.0172143160e-12    3.3737604832e-03
    1.8000021254e+01    1.0207431064e-12    3.3736398942e-03
    1.9000136724e+01    1.0243433242e-12    3.3735191705e-03
    2.0000310785e+01    1.0308387229e-12    3.3733975784e-03
    2.1000081528e+01    1.0282324067e-12    3.3732745570e-03
    2.2000097092e+01    1.0253448869e-12    3.3731498134e-03
    2.3000317855e+01    1.0303281400e-12    3.3730234387e-03
    2.4000057788e+01    1.0344713874e-12    3.3728955922e-03
    2.5000065939e+01    1.0338258357e-12    3.3727659948e-03
    2.6000323558e+01    1.0346034269e-12    3.3726338401e-03
    2.7000138353e+01    1.0320207697e-12    3.3724982681e-03
    2.8000364561e+01    1.0350653399e-12    3.3723585141e-03
    2.9000324044e+01    1.0322566833e-12    3.3722144048e-03
    3.0000010416e+01    1.0311271369e-12    3.3720660244e-03
    3.1000122223e+01    1.0347681383e-12    3.3719134599e-03
    3.2000275925e+01    1.0296697449e-12    3.3717567808e-03
    3.3000085135e+01    1.0299444142e-12    3.3715964691e-03
    3.4000308868e+01    1.0269433314e-12    3.3714336469e-03
    3.5000183825e+01    1.0274696869e-12    3.3712698075e-03
    3.6000031468e+01    1.0229298703e-12    3.3711063569e-03
    3.7000216062e+01    1.0231883163e-12    3.3709440866e-03
    3.8000324289e+01    1.0239519374e-12    3.3707835475e-03
    3.9000266894e+01    1.0231615028e-12    3.3706249811e-03
    4.0000361013e+01    1.0239573452e-12    3.3704682466e-03
    4.1000306772e+01    1.0272270136e-12    3.3703128524e-03
    4.2000220828e+01    1.0292495167e-12    3.3701588416e-03
    4.3000165136e+01    1.0256833227e-12    3.3700062732e-03
    4.4000216299e+01    1.0306012320e-12    3.3698558913e-03
    4.5000083255e+01    1.0261652895e-12    3.3697093913e-03
    4.6000116954e+01    1.0289207698e-12    3.3695677241e-03
    4.7000244056e+01    1.0324587984e-12    3.3694303494e-03
    4.8000094877e+01    1.0315807130e-12    3.3692957912e-03
    4.9000032715e+01    1.0358650128e-12    3.3691623061e-03
    5.0000320951e+01    1.0342640898e-12    3.3690281562e-03
    5.1000181621e+01    1.0320086022e-12    3.3688921625e-03
    5.2000331750e+01    1.0329630723e-12    3.3687521923e-03
    5.3000335386e+01    1.0323416302e-12    3.3686057307e-03
    5.4000123648e+01    1.0382856625e-12    3.3684507449e-03
    5.5000110744e+01    1.0404731024e-12    3.3682869153e-03
    5.6000042609e+01    1.0396308434e-12    3.3681168085e-03
    5.7000014551e+01    1.0408403796e-12    3.3679453797e-03
    5.8000082704e+01    1.0422558614e-12    3.3677764738e-03
    5.9000303140e+01    1.0441073441e-12    3.3676108554e-03
    6.0000347667e+01    1.0404494434e-12    3.3674489042e-03
    6.1000120756e+01    1.0405267294e-12    3.3672905941e-03
    6.2000285492e+01    1.0417829075e-12    3.3671345227e-03
    6.3000166809e+01    1.0448306323e-12    3.3669796324e-03
    6.4000084596e+01    1.0479396451e-12    3.3668248234e-03
    6.5000330133e+01    1.0468526849e-12    3.3666697339e-03
    6.6000084434e+01    1.0518532879e-12    3.3665141653e-03
    6.7000022755e+01    1.0507552868e-12    3.3663576681e-03
    6.8000127625e+01    1.0501953580e-12    3.3662005626e-03
    6.9000062408e+01    1.0511782189e-12    3.3660438031e-03
    7.0000236928e+01    1.0485254861e-12    3.3658884823e-03
    7.1000029217e+01    1.0568579467e-12    3.3657358669e-03
    7.2000316511e+01    1.0581483740e-12    3.3655865362e-03
    7.3000099990e+01    1.0599784510e-12    3.3654413025e-03
    7.4000064197e+01    1.0574656440e-12    3.3653007978e-03
    7.5000129862e+01    1.0617875729e-12    3.3651653963e-03
    7.6000195180e+01    1.0598029240e-12    3.3650342588e-03
    7.7000276097e+01    1.0619218656e-12    3.3649054396e-03
    7.8000359017e+01    1.0608630708e-12    3.3647767765e-03
    7.9000337590e+01    1.0615820779e-12    3.3646465325e-03
    8.0000196241e+01    1.0620870277e-12    3.3645130776e-03
    8.1000311642e+01    1.0635824994e-12    3.3643747550e-03
