                   t                divB                mass
    0.0000000000e+00    4.5034702869e-12    4.0261155082e-03
    1.0001526229e+00    4.5031386840e-12    4.0261438751e-03
    2.0000021959e+00    4.5062861010e-12    4.0261722472e-03
    3.0001266739e+00    4.5091946515e-12    4.0262006292e-03
    4.0002535437e+00    4.5061188945e-12    4.0262290144e-03
    5.0001102974e+00    4.5008694526e-12    4.0262573946e-03
    6.0002415038e+00    4.5026876480e-12    4.0262857944e-03
    7.0001017708e+00    4.5029518062e-12    4.0263141774e-03
    8.0002365033e+00    4.5035897201e-12    4.0263425540e-03
    9.0001008453e+00    4.4901893115e-12    4.0263709163e-03
    1.0000240017e+01    4.4839338203e-12    4.0263992866e-03
    1.1000109008e+01    4.4716490586e-12    4.0264276530e-03
    1.2000252908e+01    4.4738058822e-12    4.0264560322e-03
    1.3000126780e+01    4.4677442944e-12    4.0264844085e-03
    1.4000003248e+01    4.4678356257e-12    4.0265127898e-03
    1.5000154890e+01    4.4647753248e-12    4.0265411841e-03
    1.6000036668e+01    4.4631299564e-12    4.0265695772e-03
    1.7000193570e+01    4.4626437929e-12    4.0265979852e-03
    1.8000080439e+01    4.4627084273e-12    4.0266263926e-03
    1.9000242155e+01    4.4594148803e-12    4.0266548143e-03
    2.0000133468e+01    4.4589202862e-12    4.0266832339e-03
    2.1000026682e+01    4.4566482446e-12    4.0267116585e-03
    2.2000194142e+01    4.4563686304e-12    4.0267400944e-03
    2.3000090678e+01    4.4574505549e-12    4.0267685248e-03
    2.4000261297e+01    4.4549101398e-12    4.0267969641e-03
    2.5000160983e+01    4.4519931588e-12    4.0268253962e-03
    2.6000062374e+01    4.4459301659e-12    4.0268538287e-03
    2.7000238160e+01    4.4470036599e-12    4.0268822696e-03
    2.8000143474e+01    4.4495890381e-12    4.0269107036e-03
    2.9000051043e+01    4.4483834650e-12    4.0269391388e-03
    3.0000233584e+01    4.4423837014e-12    4.0269675829e-03
    3.1000146190e+01    4.4458444550e-12    4.0269960213e-03
    3.2000061496e+01    4.4416853683e-12    4.0270244623e-03
    3.3000252086e+01    4.4420478833e-12    4.0270529148e-03
    3.4000172899e+01    4.4421195432e-12    4.0270813641e-03
    3.5000096423e+01    4.4375754600e-12    4.0271098183e-03
    3.6000022566e+01    4.4408268541e-12    4.0271382778e-03
    3.7000223733e+01    4.4428108509e-12    4.0271667514e-03
    3.8000154722e+01    4.4425495029e-12    4.0271952194e-03
    3.9000087875e+01    4.4411050633e-12    4.0272236917e-03
    4.0000023032e+01    4.4430272358e-12    4.0272521682e-03
    4.1000232613e+01    4.4430075644e-12    4.0272806539e-03
    4.2000171453e+01    4.4449592440e-12    4.0273091304e-03
    4.3000112053e+01    4.4486026601e-12    4.0273376063e-03
    4.4000054428e+01    4.4478242364e-12    4.0273660832e-03
    4.5000271186e+01    4.4479675563e-12    4.0273945697e-03
    4.6000217363e+01    4.4470753198e-12    4.0274230506e-03
