                   t                divB                mass
    0.0000000000e+00    4.3300735165e-12    4.3811350579e-03
    1.0001467805e+00    4.3334729688e-12    4.3812561142e-03
    2.0000296100e+00    4.3302602675e-12    4.3813772189e-03
    3.0001197402e+00    4.3359970256e-12    4.3814984341e-03
    4.0000862733e+00    4.3395803110e-12    4.3816198762e-03
    5.0001216536e+00    4.3386611458e-12    4.3817412541e-03
    6.0002316709e+00    4.3413077580e-12    4.3818624524e-03
    7.0000066338e+00    4.3429885172e-12    4.3819834617e-03
    8.0000588581e+00    4.3520109262e-12    4.3821044959e-03
    9.0001142241e+00    4.3548238636e-12    4.3822255343e-03
    1.0000172917e+01    4.3503739368e-12    4.3823465722e-03
    1.1000234746e+01    4.3476777188e-12    4.3824676233e-03
    1.2000051202e+01    4.3438989285e-12    4.3825886655e-03
    1.3000118473e+01    4.3403681669e-12    4.3827097572e-03
    1.4000188373e+01    4.3311356630e-12    4.3828308605e-03
    1.5000012846e+01    4.3226822610e-12    4.3829519389e-03
    1.6000088406e+01    4.3162714484e-12    4.3830730530e-03
    1.7000167013e+01    4.3128019644e-12    4.3831941754e-03
    1.8000000542e+01    4.3108060628e-12    4.3833152750e-03
    1.9000085339e+01    4.3076809011e-12    4.3834364051e-03
    2.0000173274e+01    4.3065545590e-12    4.3835575267e-03
    2.1000016216e+01    4.3040042403e-12    4.3836786029e-03
    2.2000110538e+01    4.3036920159e-12    4.3837996919e-03
    2.3000208124e+01    4.3037562115e-12    4.3839207641e-03
    2.4000060836e+01    4.3047074746e-12    4.3840417917e-03
    2.5000165019e+01    4.3027057370e-12    4.3841628376e-03
    2.6000024356e+01    4.3027874406e-12    4.3842838460e-03
    2.7000135170e+01    4.2984162994e-12    4.3844048814e-03
    2.8000001101e+01    4.2893384486e-12    4.3845258878e-03
    2.9000118457e+01    4.2828663583e-12    4.3846469278e-03
    3.0000239053e+01    4.2782005006e-12    4.3847679712e-03
    3.1000114717e+01    4.2740394543e-12    4.3848889854e-03
    3.2000241797e+01    4.2717313283e-12    4.3850100275e-03
    3.3000123974e+01    4.2651045848e-12    4.3851310359e-03
    3.4000009440e+01    4.2612382550e-12    4.3852520415e-03
    3.5000146399e+01    4.2580926674e-12    4.3853730775e-03
    3.6000038542e+01    4.2525076445e-12    4.3854940881e-03
    3.7000182233e+01    4.2443168611e-12    4.3856151378e-03
    3.8000081136e+01    4.2400099155e-12    4.3857361694e-03
    3.9000231591e+01    4.2370306531e-12    4.3858572430e-03
    4.0000137215e+01    4.2387055763e-12    4.3859782963e-03
    4.1000046156e+01    4.2377601493e-12    4.3860993552e-03
    4.2000206553e+01    4.2385655131e-12    4.3862204441e-03
    4.3000122002e+01    4.2354841211e-12    4.3863414990e-03
    4.4000040622e+01    4.2326478399e-12    4.3864625469e-03
    4.5000210580e+01    4.2283525663e-12    4.3865836168e-03
    4.6000135487e+01    4.2252478304e-12    4.3867046484e-03
    4.7000063499e+01    4.2190646206e-12    4.3868256723e-03
    4.8000242788e+01    4.2106112187e-12    4.3869467185e-03
    4.9000176989e+01    4.2104740734e-12    4.3870677265e-03
    5.0000114295e+01    4.2039844752e-12    4.3871887259e-03
    5.1000054724e+01    4.2002086028e-12    4.3873097165e-03
    5.2000246474e+01    4.1978333632e-12    4.3874307297e-03
    5.3000193172e+01    4.1952392747e-12    4.3875517067e-03
    5.4000143028e+01    4.1906667925e-12    4.3876726797e-03
    5.5000096074e+01    4.1866078757e-12    4.3877936499e-03
    5.6000052350e+01    4.1804976155e-12    4.3879146174e-03
    5.7000011910e+01    4.1859659190e-12    4.3880355817e-03
    5.8000222983e+01    4.1804596817e-12    4.3881565715e-03
    5.9000189196e+01    4.1803312904e-12    4.3882775253e-03
    6.0000158741e+01    4.1818194626e-12    4.3883984726e-03
    6.1000131605e+01    4.1806289248e-12    4.3885194125e-03
    6.2000107783e+01    4.1802875206e-12    4.3886403461e-03
    6.3000087276e+01    4.1783820765e-12    4.3887612745e-03
    6.4000070086e+01    4.1749009206e-12    4.3888821992e-03
    6.5000056220e+01    4.1717378251e-12    4.3890031223e-03
    6.6000045687e+01    4.1635120260e-12    4.3891240457e-03
    6.7000038505e+01    4.1585251899e-12    4.3892449716e-03
    6.8000034680e+01    4.1527621699e-12    4.3893659019e-03
    6.9000034213e+01    4.1431561640e-12    4.3894868380e-03
    7.0000037104e+01    4.1391205910e-12    4.3896077803e-03
    7.1000043342e+01    4.1324500777e-12    4.3897287284e-03
    7.2000052907e+01    4.1265732563e-12    4.3898496804e-03
    7.3000065777e+01    4.1237924168e-12    4.3899706339e-03
    7.4000081929e+01    4.1188639405e-12    4.3900915856e-03
    7.5000101335e+01    4.1212041643e-12    4.3902125334e-03
    7.6000123982e+01    4.1222050331e-12    4.3903334756e-03
    7.7000149857e+01    4.1201215919e-12    4.3904544113e-03
    7.8000178947e+01    4.1153390148e-12    4.3905753400e-03
