                   t                divB                mass
    0.0000000000e+00    7.0175387938e-13    3.8706073273e-03
    1.0001127184e+00    7.0412306978e-13    3.8705934824e-03
    2.0001900090e+00    7.0354923941e-13    3.8705402915e-03
    3.0000804533e+00    7.0911760214e-13    3.8704498697e-03
    4.0001162678e+00    7.0640369004e-13    3.8703280251e-03
    5.0000677878e+00    7.0364416191e-13    3.8701815575e-03
    6.0000979562e+00    7.0393407177e-13    3.8700161073e-03
    7.0001442110e+00    7.0425144806e-13    3.8698352039e-03
    8.0001352153e+00    7.0209515267e-13    3.8696408170e-03
    9.0001083437e+00    6.9738569027e-13    3.8694344607e-03
    1.0000104945e+01    7.0301703217e-13    3.8692177723e-03
    1.1000115824e+01    7.0292023422e-13    3.8689945590e-03
    1.2000052361e+01    7.0638499594e-13    3.8687702838e-03
    1.3000056272e+01    7.0122766151e-13    3.8685512741e-03
    1.4000072883e+01    7.0253346590e-13    3.8683456493e-03
    1.5000108047e+01    6.9830696479e-13    3.8681645486e-03
    1.6000063262e+01    7.0256220279e-13    3.8680184317e-03
    1.7000083836e+01    7.0865291147e-13    3.8679162705e-03
    1.8000009770e+01    7.1915046795e-13    3.8678639250e-03
    1.9000072968e+01    7.2104837331e-13    3.8678612186e-03
    2.0000077892e+01    7.2147180385e-13    3.8678997412e-03
    2.1000036305e+01    7.2881803113e-13    3.8679679105e-03
    2.2000049187e+01    7.2748089976e-13    3.8680515195e-03
    2.3000024432e+01    7.2673821747e-13    3.8681328774e-03
    2.4000035307e+01    7.2446491755e-13    3.8681919610e-03
    2.5000029566e+01    7.2894118762e-13    3.8682133535e-03
    2.6000051187e+01    7.2034565231e-13    3.8681898312e-03
    2.7000064119e+01    7.2795857497e-13    3.8681213759e-03
    2.8000001418e+01    7.3810711125e-13    3.8680139108e-03
    2.9000058772e+01    7.3772464898e-13    3.8678787939e-03
    3.0000062953e+01    7.3813445218e-13    3.8677268026e-03
    3.1000039947e+01    7.3545779217e-13    3.8675648474e-03
    3.2000004620e+01    7.3622199688e-13    3.8673955160e-03
    3.3000034494e+01    7.3848059561e-13    3.8672195637e-03
    3.4000032132e+01    7.3883061096e-13    3.8670368985e-03
    3.5000040076e+01    7.3873281478e-13    3.8668481169e-03
    3.6000046209e+01    7.4371261571e-13    3.8666555451e-03
    3.7000000275e+01    7.3593586818e-13    3.8664628308e-03
    3.8000043788e+01    7.2126819541e-13    3.8662735591e-03
    3.9000025843e+01    7.2496463698e-13    3.8660908425e-03
    4.0000031506e+01    7.3016462300e-13    3.8659175589e-03
    4.1000035400e+01    7.2454692356e-13    3.8657565271e-03
    4.2000008784e+01    7.3478191559e-13    3.8656120035e-03
    4.3000007471e+01    7.3446847172e-13    3.8654906398e-03
    4.4000012820e+01    7.2885872787e-13    3.8654002738e-03
    4.5000007590e+01    7.4382977148e-13    3.8653477133e-03
    4.6000013019e+01    7.3749858038e-13    3.8653336953e-03
    4.7000010295e+01    7.2970492347e-13    3.8653510118e-03
    4.8000013427e+01    7.2388558180e-13    3.8653876980e-03
    4.9000000408e+01    7.3408736003e-13    3.8654309687e-03
    5.0000017374e+01    7.4145111304e-13    3.8654683923e-03
    5.1000018810e+01    7.4293442067e-13    3.8654880166e-03
    5.2000015094e+01    7.3699858871e-13    3.8654794462e-03
    5.3000040726e+01    7.1928271815e-13    3.8654364561e-03
    5.4000017237e+01    7.2507147772e-13    3.8653586711e-03
    5.5000032620e+01    7.2563508380e-13    3.8652503760e-03
    5.6000025128e+01    7.3067474821e-13    3.8651185098e-03
    5.7000035533e+01    7.2317804926e-13    3.8649696707e-03
    5.8000044147e+01    7.0814018481e-13    3.8648114450e-03
    5.9000030149e+01    7.1455135522e-13    3.8646512113e-03
    6.0000023714e+01    7.1602446881e-13    3.8644944918e-03
    6.1000034017e+01    7.1221165795e-13    3.8643427805e-03
    6.2000013752e+01    7.2278783252e-13    3.8641933796e-03
    6.3000027133e+01    7.2031295086e-13    3.8640421930e-03
    6.4000035497e+01    7.2488907407e-13    3.8638875818e-03
    6.5000013548e+01    7.2007083498e-13    3.8637320951e-03
    6.6000029285e+01    7.3203070603e-13    3.8635809300e-03
    6.7000012766e+01    7.2132243251e-13    3.8634395231e-03
    6.8000037355e+01    7.2742645091e-13    3.8633097144e-03
    6.9000035461e+01    7.3292753906e-13    3.8631899723e-03
    7.0000000640e+01    7.3120132907e-13    3.8630802313e-03
    7.1000011170e+01    7.3920650287e-13    3.8629822884e-03
    7.2000030143e+01    7.3886756902e-13    3.8628981627e-03
    7.3000012999e+01    7.3978099804e-13    3.8628321386e-03
    7.4000005230e+01    7.4609198300e-13    3.8627890797e-03
    7.5000028400e+01    7.5119405814e-13    3.8627672270e-03
    7.6000012433e+01    7.5491684173e-13    3.8627622111e-03
    7.7000000983e+01    7.4246982754e-13    3.8627648651e-03
    7.8000036709e+01    7.3380231463e-13    3.8627601067e-03
    7.9000036497e+01    7.3431780512e-13    3.8627338713e-03
    8.0000015409e+01    7.4058510832e-13    3.8626750738e-03
    8.1000010250e+01    7.4050026050e-13    3.8625796166e-03
    8.2000018690e+01    7.3138266539e-13    3.8624531058e-03
    8.3000032121e+01    7.3898534967e-13    3.8623065347e-03
    8.4000019853e+01    7.4087532901e-13    3.8621518766e-03
    8.5000018682e+01    7.4297479782e-13    3.8619991785e-03
    8.6000023883e+01    7.5258204030e-13    3.8618558984e-03
    8.7000000985e+01    7.5955328304e-13    3.8617261143e-03
    8.8000000464e+01    7.5895340214e-13    3.8616093460e-03
    8.9000002978e+01    7.6408795272e-13    3.8614991193e-03
    9.0000008038e+01    7.7333888011e-13    3.8613866440e-03
    9.1000013538e+01    7.6629308107e-13    3.8612643102e-03
    9.2000026318e+01    7.6163674283e-13    3.8611280614e-03
    9.3000036723e+01    7.5744420881e-13    3.8609807819e-03
    9.4000003581e+01    7.6467594120e-13    3.8608325211e-03
    9.5000013619e+01    7.6565523592e-13    3.8606966071e-03
    9.6000004781e+01    7.5329604265e-13    3.8605831134e-03
    9.7000035194e+01    7.6173920057e-13    3.8604948440e-03
    9.8000009956e+01    7.6001365676e-13    3.8604290576e-03
    9.9000024035e+01    7.4826852382e-13    3.8603814057e-03
    1.0000000795e+02    7.3152856665e-13    3.8603490796e-03
    1.0100000791e+02    7.4047366546e-13    3.8603309034e-03
