                   t                divB                mass
    1.0200001510e+02    7.5232893422e-13    3.8603257581e-03
    1.0300000708e+02    7.6597006471e-13    3.8603294815e-03
    1.0400002059e+02    7.7053904908e-13    3.8603339749e-03
    1.0500002379e+02    7.7323106064e-13    3.8603291288e-03
    1.0600000062e+02    7.5328826243e-13    3.8603050206e-03
    1.0700002544e+02    7.5122428808e-13    3.8602558062e-03
    1.0800002121e+02    7.4032157168e-13    3.8601824814e-03
    1.0900000687e+02    7.4954266565e-13    3.8600874171e-03
    1.1000000258e+02    7.5559864807e-13    3.8599717019e-03
    1.1100001465e+02    7.5636746581e-13    3.8598355149e-03
    1.1200002957e+02    7.5929735834e-13    3.8596790011e-03
    1.1300001931e+02    7.5748602665e-13    3.8595032867e-03
    1.1400001000e+02    7.5915494435e-13    3.8593114133e-03
    1.1500002137e+02    7.6820809388e-13    3.8591075014e-03
    1.1600001299e+02    7.6055669970e-13    3.8588972519e-03
    1.1700002227e+02    7.6860009534e-13    3.8586856545e-03
    1.1800001613e+02    7.8100088106e-13    3.8584758665e-03
    1.1900000337e+02    7.5439411854e-13    3.8582700478e-03
    1.2000001747e+02    7.7587491522e-13    3.8580739421e-03
    1.2100002243e+02    7.7536007111e-13    3.8578962362e-03
    1.2200001344e+02    7.6080214301e-13    3.8577468787e-03
    1.2300002015e+02    7.6316637251e-13    3.8576347556e-03
    1.2400002030e+02    7.7101081810e-13    3.8575648715e-03
    1.2500002233e+02    7.7881351957e-13    3.8575363642e-03
    1.2600000685e+02    7.7443020578e-13    3.8575430531e-03
    1.2700001754e+02    7.7970043081e-13    3.8575752675e-03
    1.2800002157e+02    7.6401196312e-13    3.8576227726e-03
    1.2900001239e+02    7.5453018016e-13    3.8576779373e-03
    1.3000000181e+02    7.5733605032e-13    3.8577348027e-03
    1.3100001576e+02    7.5679785370e-13    3.8577881567e-03
    1.3200000091e+02    7.6356778152e-13    3.8578322439e-03
